代码,名称,实际控制人,类型,总市值(亿)
688146,中船特气,中国船舶集团有限公司,国务院国资委(经央企集团),1239.4
600893,航发动力,中国航空发动机集团有限公司,国务院国资委(经央企集团),1104.6
600905,三峡能源,中国长江三峡集团有限公司,国务院国资委(经央企集团),1057.7
601698,中国卫通,中国航天科技集团有限公司,国务院国资委(经央企集团),1022.7
000958,电投产融,"国家电力投资集团有限公司,国家电投集团河北电力有限公司",国务院国资委(经央企集团),967.1
000617,中油资本,中国石油天然气集团有限公司,国务院国资委(经央企集团),912.8
002128,电投能源,国家电力投资集团有限公司,国务院国资委(经央企集团),882.0
002080,中材科技,中国建材集团有限公司,国务院国资委(经央企集团),850.6
688818,电科蓝天,中国电子科技集团有限公司,国务院国资委(经央企集团),768.8
688396,华润微,中国华润有限公司,国务院国资委(经央企集团),762.0
002179,中航光电,中国航空工业集团有限公司,国务院国资委(经央企集团),717.7
600118,中国卫星,中国航天科技集团有限公司,国务院国资委(经央企集团),687.4
001965,招商公路,招商局集团有限公司,国务院国资委(经央企集团),656.4
000768,中航西飞,中国航空工业集团有限公司,国务院国资委(经央企集团),654.0
600048,保利发展,中国保利集团有限公司,国务院国资委(经央企集团),634.4
001979,招商蛇口,招商局集团有限公司,国务院国资委(经央企集团),629.3
601808,中海油服,中国海洋石油集团有限公司,国务院国资委(经央企集团),602.2
000831,中国稀土,中国稀土集团有限公司,国务院国资委(经央企集团),587.8
001872,招商港口,招商局集团有限公司,国务院国资委(经央企集团),576.4
600292,电投水电,国家电力投资集团有限公司,国务院国资委(经央企集团),568.4
600372,中航机载,中国航空工业集团有限公司,国务院国资委(经央企集团),566.2
000021,深科技,中国电子信息产业集团有限公司,国务院国资委(经央企集团),562.0
003031,中瓷电子,中国电子科技集团有限公司,国务院国资委(经央企集团),539.2
001391,国货航,中国航空集团有限公司,国务院国资委(经央企集团),507.9
301269,华大九天,中国电子信息产业集团有限公司,国务院国资委(经央企集团),503.7
600845,宝信软件,中国宝武钢铁集团有限公司,国务院国资委(经央企集团),489.8
000066,中国长城,中国电子信息产业集团有限公司,国务院国资委(经央企集团),474.5
600879,航天电子,中国航天科技集团有限公司,国务院国资委(经央企集团),472.8
601598,中国外运,招商局集团有限公司,国务院国资委(经央企集团),466.3
688375,国博电子,中国电子科技集团有限公司,国务院国资委(经央企集团),436.7
600871,石化油服,中国石油化工集团有限公司,国务院国资委(经央企集团),436.0
600726,华电能源,中国华电集团有限公司,国务院国资委(经央企集团),426.2
000999,华润三九,中国华润有限公司,国务院国资委(经央企集团),410.1
600968,海油发展,中国海洋石油集团有限公司,国务院国资委(经央企集团),404.6
600863,华能蒙电,中国华能集团有限公司,国务院国资委(经央企集团),363.6
600562,国睿科技,中国电子科技集团有限公司,国务院国资委(经央企集团),360.5
688295,中复神鹰,中国建材集团有限公司,国务院国资委(经央企集团),349.6
601880,辽港股份,招商局集团有限公司,国务院国资委(经央企集团),344.1
002939,长城证券,中国华能集团有限公司,国务院国资委(经央企集团),326.8
000883,湖北能源,中国长江三峡集团有限公司,国务院国资委(经央企集团),320.0
600536,中国软件,中国电子信息产业集团有限公司,国务院国资委(经央企集团),313.2
600079,ST人福,招商局集团有限公司,国务院国资委(经央企集团),306.9
600688,上海石化,中国石油化工集团有限公司,国务院国资委(经央企集团),306.8
601156,东航物流,中国东方航空集团有限公司,国务院国资委(经央企集团),300.8
688297,中无人机,中国航空工业集团有限公司,国务院国资委(经央企集团),300.5
000423,东阿阿胶,中国华润有限公司,国务院国资委(经央企集团),300.2
002046,国机精工,中国机械工业集团有限公司,国务院国资委(经央企集团),293.0
000962,东方钽业,中国有色矿业集团有限公司,国务院国资委(经央企集团),284.3
000786,北新建材,中国建材集团有限公司,国务院国资委(经央企集团),280.7
000629,钒钛股份,鞍钢集团有限公司,国务院国资委(经央企集团),280.6
600961,株冶集团,中国五矿集团有限公司,国务院国资委(经央企集团),274.8
000877,天山股份,中国建材集团有限公司,国务院国资委(经央企集团),273.0
600583,海油工程,中国海洋石油集团有限公司,国务院国资委(经央企集团),271.0
000738,航发控制,中国航空发动机集团有限公司,国务院国资委(经央企集团),261.2
600259,中稀有色,中国稀土集团有限公司,国务院国资委(经央企集团),260.9
600862,中航高科,中国航空工业集团有限公司,国务院国资委(经央企集团),256.6
600161,天坛生物,中国医药集团有限公司,国务院国资委(经央企集团),247.8
601606,长城军工,中国兵器装备集团有限公司,国务院国资委(经央企集团),245.5
688563,航材股份,中国航空发动机集团有限公司,国务院国资委(经央企集团),241.9
600316,洪都航空,中国航空工业集团有限公司,国务院国资委(经央企集团),234.1
601399,国机重装,中国机械工业集团有限公司,国务院国资委(经央企集团),232.3
600038,中直股份,中国航空工业集团有限公司,国务院国资委(经央企集团),228.8
300747,锐科激光,中国航天科工集团有限公司,国务院国资委(经央企集团),225.5
600390,五矿资本,中国五矿集团有限公司,国务院国资委(经央企集团),225.4
000733,振华科技,中国电子信息产业集团有限公司,国务院国资委(经央企集团),223.9
688475,萤石网络,中国电子科技集团有限公司,国务院国资委(经央企集团),223.3
600967,内蒙一机,中国兵器工业集团有限公司,国务院国资委(经央企集团),222.9
601975,招商南油,招商局集团有限公司,国务院国资委(经央企集团),218.1
600535,天士力,中国华润有限公司,国务院国资委(经央企集团),216.8
000519,中兵红箭,中国兵器工业集团有限公司,国务院国资委(经央企集团),215.6
